File Name,dataCV,SCAN RATE,499.999
T,Vf,Im
0.326,-0.873612,-0.000691984
0.328,-0.874575,-0.000696152
0.33,-0.875663,-0.000704489
0.332,-0.876554,-0.000683646
0.334,-0.877667,-0.000666972
0.336,-0.878625,-0.000658635
0.338,-0.879533,-0.000675309
0.34,-0.880829,-0.000687815
0.342,-0.881687,-0.000687815
0.344,-0.882633,-0.000708658
0.346,-0.883567,-0.000691984
0.348,-0.884583,-0.000704489
0.35,-0.885608,-0.000704489
0.352,-0.886546,-0.000700321
0.354,-0.887571,-0.000675309
0.356,-0.888617,-0.000696152
0.358,-0.889567,-0.000679478
0.36,-0.8906,-0.000708658
0.362,-0.891542,-0.000700321
0.364,-0.892554,-0.000742006
0.366,-0.893629,-0.000704489
0.368,-0.894587,-0.000712826
0.37,-0.895467,-0.000696152
0.372,-0.896621,-0.000758681
0.374,-0.897579,-0.000725332
0.376,-0.898617,-0.000716995
0.378,-0.899458,-0.000683646
0.38,-0.900517,-0.000729501
0.382,-0.901667,-0.000767018
0.384,-0.902617,-0.000716995
0.386,-0.90345,-0.000721164
0.388,-0.904817,-0.000729501
0.39,-0.905608,-0.000729501
0.392,-0.906542,-0.000742006
0.394,-0.907921,-0.000746175
0.396,-0.908433,-0.000733669
0.398,-0.9096,-0.000754512
0.4,-0.9105,-0.000800367
0.402,-0.911533,-0.000733669
0.404,-0.912625,-0.000762849
0.406,-0.913571,-0.000783692
0.408,-0.914579,-0.000750344
0.41,-0.915487,-0.000746175
0.412,-0.916517,-0.000762849
0.414,-0.917633,-0.000808704
0.416,-0.918525,-0.000767018
0.418,-0.919483,-0.000792029
0.42,-0.920687,-0.000767018
0.422,-0.921604,-0.000754512
0.424,-0.922571,-0.000775355
0.426,-0.923521,-0.000792029
0.428,-0.924537,-0.000771187
0.43,-0.92565,-0.000767018
0.432,-0.9266,-0.000750344
0.434,-0.927458,-0.000746175
0.436,-0.928717,-0.000758681
0.438,-0.929662,-0.000758681
0.44,-0.93055,-0.000792029
0.442,-0.931829,-0.000742006
0.444,-0.932667,-0.000783692
0.446,-0.933675,-0.000796198
0.448,-0.934563,-0.000783692
0.45,-0.935554,-0.000792029
0.452,-0.936625,-0.000783692
0.454,-0.937542,-0.000783692
0.456,-0.938521,-0.000829547
0.458,-0.939483,-0.000808704
0.46,-0.940512,-0.000771187
0.462,-0.941625,-0.000821209
0.464,-0.94255,-0.000817041
0.466,-0.943458,-0.000817041
0.468,-0.94455,-0.000796198
0.47,-0.945525,-0.000842052
0.472,-0.946608,-0.000825378
0.474,-0.947458,-0.000817041
0.476,-0.948467,-0.000833715
0.478,-0.949633,-0.000833715
0.48,-0.950592,-0.000829547
0.482,-0.951442,-0.000854558
0.484,-0.952696,-0.000829547
0.486,-0.953575,-0.000833715
0.488,-0.954562,-0.000821209
0.49,-0.95555,-0.000787861
0.492,-0.956354,-0.000837884
0.494,-0.95765,-0.000842052
0.496,-0.958537,-0.000821209
0.498,-0.95945,-0.000837884
0.5,-0.9605,-0.000817041
0.502,-0.961537,-0.000862895
0.504,-0.962542,-0.000871232
0.506,-0.963496,-0.000867064
0.508,-0.964479,-0.000842052
0.51,-0.965604,-0.000846221
0.512,-0.966579,-0.000858727
0.514,-0.967458,-0.000900412
0.516,-0.968529,-0.00087957
0.518,-0.969529,-0.000837884
0.52,-0.970537,-0.000837884
0.522,-0.971446,-0.000854558
0.524,-0.972425,-0.00087957
0.526,-0.973637,-0.000900412
0.528,-0.974596,-0.000887907
0.53,-0.97545,-0.00087957
0.532,-0.976675,-0.000875401
0.534,-0.977571,-0.000892075
0.536,-0.978637,-0.00093793
0.538,-0.979475,-0.000883738
0.54,-0.980425,-0.000875401
0.542,-0.981633,-0.000900412
0.544,-0.982608,-0.000875401
0.546,-0.983533,-0.000904581
0.548,-0.98475,-0.000917087
0.55,-0.985583,-0.000887907
0.552,-0.986562,-0.000896244
0.554,-0.987504,-0.000900412
0.556,-0.988558,-0.000912918
0.558,-0.989596,-0.000875401
0.56,-0.990554,-0.000917087
0.562,-0.991467,-0.000925424
0.564,-0.992512,-0.000896244
0.566,-0.993533,-0.000921255
0.568,-0.994637,-0.000946267
0.57,-0.995454,-0.000892075
0.572,-0.996462,-0.000908749
0.574,-0.997629,-0.00087957
0.576,-0.998617,-0.000908749
0.578,-0.99945,-0.000958772
0.58,-1.00063,-0.000904581
0.582,-1.00151,-0.000946267
0.584,-1.00263,-0.000929592
0.586,-1.00349,-0.000942098
0.588,-1.00438,-0.000912918
0.59,-1.00564,-0.00093793
0.592,-1.00661,-0.000933761
0.594,-1.00745,-0.000958772
0.596,-1.00869,-0.000950435
0.598,-1.00968,-0.000917087
0.6,-1.01062,-0.000933761
0.602,-1.01149,-0.000958772
0.604,-1.01256,-0.000962941
0.606,-1.01358,-0.000929592
0.608,-1.01458,-0.000929592
0.61,-1.01545,-0.000950435
0.612,-1.01655,-0.000933761
0.614,-1.01758,-0.000929592
0.616,-1.01857,-0.000950435
0.618,-1.01945,-0.000950435
0.62,-1.02057,-0.000971278
0.622,-1.02162,-0.00096711
0.624,-1.02262,-0.000954604
0.626,-1.02345,-0.000975447
0.628,-1.02465,-0.000971278
0.63,-1.0256,-0.000987952
0.632,-1.02661,-0.00099629
0.634,-1.02747,-0.000987952
0.636,-1.02844,-0.000962941
0.638,-1.02966,-0.000983784
0.64,-1.03065,-0.000992121
0.642,-1.03144,-0.000983784
0.644,-1.03275,-0.000983784
0.646,-1.03367,-0.000987952
0.648,-1.03461,-0.000962941
0.65,-1.03561,-0.00096711
0.652,-1.03628,-0.000983784
0.654,-1.03757,-0.00100463
0.656,-1.03854,-0.0010088
0.658,-1.03946,-0.00100046
0.66,-1.04055,-0.00099629
0.662,-1.04154,-0.00101296
0.664,-1.04257,-0.00101296
0.666,-1.04348,-0.00101296
0.668,-1.0446,-0.000992121
0.67,-1.04561,-0.00101296
0.672,-1.04662,-0.0010213
0.674,-1.04747,-0.00100463
0.676,-1.04847,-0.00101296
0.678,-1.04956,-0.00103381
0.68,-1.05062,-0.0010088
0.682,-1.05145,-0.00105465
0.684,-1.05245,-0.00105048
0.686,-1.05365,-0.00103798
0.688,-1.05462,-0.00102964
0.69,-1.05545,-0.00102547
0.692,-1.0566,-0.00102547
0.694,-1.0576,-0.00100463
0.696,-1.05861,-0.00101713
0.698,-1.05957,-0.00103381
0.7,-1.06035,-0.00103381
0.702,-1.06168,-0.00104631
0.704,-1.06255,-0.00104214
0.706,-1.06347,-0.00101713
0.708,-1.06451,-0.00104214
0.71,-1.06552,-0.00103381
0.712,-1.06653,-0.00104214
0.714,-1.06745,-0.00102547
0.716,-1.06856,-0.00103798
0.718,-1.06959,-0.00105465
0.72,-1.07058,-0.00109217
0.722,-1.07145,-0.00107132
0.724,-1.07243,-0.00107132
0.726,-1.07353,-0.00109634
0.728,-1.07462,-0.00107966
0.73,-1.07545,-0.00102964
0.732,-1.07644,-0.00107549
0.734,-1.07767,-0.00107549
0.736,-1.07863,-0.00105465
0.738,-1.07944,-0.00108383
0.74,-1.08062,-0.0011005
0.742,-1.08152,-0.00104214
0.744,-1.0826,-0.00105465
0.746,-1.08355,-0.0011005
0.748,-1.0843,-0.00107549
0.75,-1.08567,-0.00107966
0.752,-1.08662,-0.00105048
0.754,-1.08745,-0.00104631
0.756,-1.08851,-0.00109217
0.758,-1.08954,-0.00105465
0.76,-1.09054,-0.00107132
0.762,-1.09147,-0.00107966
0.764,-1.09253,-0.001088
0.766,-1.09361,-0.0011005
0.768,-1.0946,-0.00107966
0.77,-1.09545,-0.00109634
0.772,-1.09655,-0.00107549
0.774,-1.09753,-0.00109634
0.776,-1.0986,-0.00108383
0.778,-1.09945,-0.00112968
0.78,-1.1004,-0.00112552
0.782,-1.10165,-0.00107966
0.784,-1.10259,-0.001088
0.786,-1.10345,-0.00111301
0.788,-1.10459,-0.00112135
0.79,-1.1055,-0.00110884
0.792,-1.10658,-0.00110884
0.794,-1.10747,-0.00111718
0.796,-1.10833,-0.0011005
0.798,-1.10964,-0.00111301
0.8,-1.11057,-0.00114636
0.802,-1.11147,-0.00109634
0.804,-1.11275,-0.00113385
0.806,-1.11347,-0.00110467
0.808,-1.11449,-0.00112135
0.81,-1.11548,-0.00116303
0.812,-1.11645,-0.00112968
0.814,-1.11755,-0.00111301
0.816,-1.11849,-0.00113385
0.818,-1.11945,-0.00113385
0.82,-1.12052,-0.00112135
0.822,-1.12152,-0.00113802
0.824,-1.1226,-0.00119638
0.826,-1.12347,-0.00118804
0.828,-1.12435,-0.00118388
0.83,-1.12562,-0.00115886
0.832,-1.1266,-0.00114219
0.834,-1.12746,-0.0011672
0.836,-1.12854,-0.00113802
0.838,-1.12953,-0.00118388
0.84,-1.13054,-0.00117554
0.842,-1.13146,-0.00121306
0.844,-1.13228,-0.00118804
0.846,-1.13365,-0.00120055
0.848,-1.13453,-0.00120889
0.85,-1.13545,-0.00120472
0.852,-1.13675,-0.00117554
0.854,-1.13754,-0.00123807
0.856,-1.13857,-0.00120055
0.858,-1.13945,-0.00117971
0.86,-1.14053,-0.00118804
0.862,-1.14155,-0.00120472
0.864,-1.14252,-0.00121306
0.866,-1.14346,-0.00119221
0.868,-1.14447,-0.00120889
0.87,-1.14548,-0.00116303
0.872,-1.14653,-0.0011672
0.874,-1.14745,-0.00115886
0.876,-1.14837,-0.00121722
0.878,-1.14964,-0.00118804
0.88,-1.15058,-0.00120472
0.882,-1.15145,-0.00121722
0.884,-1.15252,-0.00116303
0.886,-1.15352,-0.00120472
0.888,-1.15454,-0.0011547
0.89,-1.15545,-0.00120889
0.892,-1.1563,-0.00121722
0.894,-1.15765,-0.00122139
0.896,-1.15853,-0.00122139
0.898,-1.15945,-0.00122973
0.9,-1.16059,-0.00121722
0.902,-1.16144,-0.00120889
0.904,-1.1625,-0.00117554
0.906,-1.16363,-0.00120472
0.908,-1.16425,-0.00122139
0.91,-1.1655,-0.00120055
0.912,-1.16647,-0.00125474
0.914,-1.16745,-0.00122973
0.916,-1.1685,-0.00121722
0.918,-1.16946,-0.00123807
0.92,-1.1705,-0.00120472
0.922,-1.17146,-0.00122139
0.924,-1.17239,-0.00122139
0.926,-1.17358,-0.00127142
0.928,-1.17456,-0.00129226
0.93,-1.17545,-0.00123807
0.932,-1.17657,-0.00125474
0.934,-1.17748,-0.00125057
0.936,-1.17853,-0.0012464
0.938,-1.17947,-0.00125057
0.94,-1.18038,-0.00127142
0.942,-1.18164,-0.00125891
0.944,-1.18255,-0.00125891
0.946,-1.18344,-0.00127975
0.948,-1.18476,-0.00127975
0.95,-1.18551,-0.00130476
0.952,-1.18657,-0.00127142
0.954,-1.18749,-0.00127975
0.956,-1.1884,-0.00125891
0.958,-1.18966,-0.00125891
0.96,-1.1905,-0.00125057
0.962,-1.19149,-0.00127142
0.964,-1.19249,-0.00126725
0.966,-1.1935,-0.00127558
0.968,-1.19451,-0.00127558
0.97,-1.19546,-0.00129643
0.972,-1.19654,-0.00127142
0.974,-1.19758,-0.00125057
0.976,-1.19855,-0.00127558
0.978,-1.19946,-0.00129226
0.98,-1.20047,-0.00129643
0.982,-1.20149,-0.00126725
0.984,-1.20262,-0.00132978
0.986,-1.20345,-0.00134228
0.988,-1.20439,-0.00127142
0.99,-1.20565,-0.0013131
0.992,-1.20658,-0.00131727
0.994,-1.20745,-0.00130476
0.996,-1.20861,-0.00129643
0.998,-1.20947,-0.00128809
1.0,-1.21057,-0.00129643
1.002,-1.21145,-0.00132561
1.004,-1.21228,-0.00134228
1.006,-1.21367,-0.00132144
1.008,-1.21457,-0.00129643
1.01,-1.21545,-0.00131727
1.012,-1.2165,-0.00132144
1.014,-1.21746,-0.00134645
1.016,-1.21848,-0.00131727
1.018,-1.2195,-0.00137563
1.02,-1.22046,-0.00130893
1.022,-1.22154,-0.00129226
1.024,-1.22257,-0.00135062
1.026,-1.22347,-0.00132978
1.028,-1.22444,-0.00133394
1.03,-1.22548,-0.00135479
1.032,-1.22655,-0.00132978
1.034,-1.22745,-0.00136312
1.036,-1.22842,-0.00134228
1.038,-1.22965,-0.00133394
1.04,-1.23061,-0.00134228
1.042,-1.23145,-0.00134228
1.044,-1.23264,-0.00138397
1.046,-1.23345,-0.00132144
1.048,-1.2346,-0.00135062
1.05,-1.23547,-0.00135062
1.052,-1.23642,-0.00137563
1.054,-1.23761,-0.00133394
1.056,-1.23855,-0.00136729
1.058,-1.23946,-0.00136312
1.06,-1.24072,-0.00134645
1.062,-1.2415,-0.0013923
1.064,-1.24247,-0.00134645
1.066,-1.24349,-0.00133811
1.068,-1.24447,-0.00140481
1.07,-1.24548,-0.00134645
1.072,-1.24649,-0.00138814
1.074,-1.24746,-0.0013798
1.076,-1.2485,-0.00139647
1.078,-1.24949,-0.00135896
1.08,-1.25052,-0.00140064
1.082,-1.25145,-0.00139647
1.084,-1.25249,-0.00141315
1.086,-1.25361,-0.00136729
1.088,-1.25456,-0.00138814
1.09,-1.25545,-0.00141315
1.092,-1.25652,-0.0013923
1.094,-1.25749,-0.00141732
1.096,-1.25857,-0.00140064
1.098,-1.25943,-0.00140898
1.1,-1.26029,-0.00140064
1.102,-1.26165,-0.00140898
1.104,-1.2626,-0.00138397
1.106,-1.26343,-0.00143816
1.108,-1.26459,-0.00140481
1.11,-1.26555,-0.00142565
1.112,-1.26659,-0.00143816
1.114,-1.2675,-0.0014465
1.116,-1.26845,-0.00143816
1.118,-1.26946,-0.00143399
1.12,-1.27046,-0.00140898
1.122,-1.27144,-0.00139647
1.124,-1.27247,-0.0013923
1.126,-1.27347,-0.00145066
1.128,-1.27447,-0.00140898
1.13,-1.27546,-0.0014465
1.132,-1.27645,-0.00142148
1.134,-1.27762,-0.00142565
1.136,-1.27845,-0.00146317
1.138,-1.27944,-0.00148818
1.14,-1.2805,-0.001459
1.142,-1.28151,-0.00146734
1.144,-1.28255,-0.00147568
1.146,-1.28345,-0.00146734
1.148,-1.28443,-0.00143816
1.15,-1.28566,-0.00143816
1.152,-1.28654,-0.00149652
1.154,-1.28743,-0.00150069
1.156,-1.28855,-0.0014465
1.158,-1.28949,-0.00145483
1.16,-1.2905,-0.00149652
1.162,-1.29145,-0.00148401
1.164,-1.29233,-0.00154654
1.166,-1.29347,-0.00149652
1.168,-1.29448,-0.00150486
1.17,-1.29545,-0.00151319
1.172,-1.29646,-0.0015382
1.174,-1.29747,-0.0015257
1.176,-1.29848,-0.0015382
1.178,-1.29948,-0.00156322
1.18,-1.30048,-0.0015382
1.182,-1.30162,-0.00155488
1.184,-1.3025,-0.00156738
1.186,-1.30345,-0.00151319
1.188,-1.30455,-0.00158406
1.19,-1.30547,-0.00155905
1.192,-1.30648,-0.00161324
1.194,-1.30744,-0.00153404
1.196,-1.30843,-0.00154654
1.198,-1.30965,-0.00155071
1.2,-1.3105,-0.00157572
1.202,-1.31144,-0.00155488
1.204,-1.31261,-0.00160073
1.206,-1.31341,-0.0015924
1.208,-1.31454,-0.0015924
1.21,-1.31546,-0.0016049
1.212,-1.31649,-0.00157155
1.214,-1.31763,-0.00161741
1.216,-1.31846,-0.00162158
1.218,-1.31943,-0.00160073
1.22,-1.32045,-0.00163825
1.222,-1.32145,-0.00162574
1.224,-1.32241,-0.00161324
1.226,-1.32344,-0.00164659
1.228,-1.32446,-0.00165909
1.23,-1.32559,-0.00163825
1.232,-1.32646,-0.00165076
1.234,-1.32744,-0.00165492
1.236,-1.32855,-0.0016716
1.238,-1.32946,-0.00165492
1.24,-1.33053,-0.00169244
1.242,-1.33145,-0.00165909
1.244,-1.33237,-0.00167577
1.246,-1.3336,-0.0016841
1.248,-1.33451,-0.00168827
1.25,-1.33543,-0.00169661
1.252,-1.3366,-0.00166326
1.254,-1.33747,-0.00170078
1.256,-1.33852,-0.00170495
1.258,-1.33951,-0.00172162
1.26,-1.34032,-0.0017508
1.262,-1.34161,-0.00174246
1.264,-1.34255,-0.00172579
1.266,-1.34345,-0.00175497
1.268,-1.34442,-0.00177998
1.27,-1.34543,-0.00176331
1.272,-1.34648,-0.00178415
1.274,-1.34742,-0.00179666
1.276,-1.34845,-0.00176331
1.278,-1.34955,-0.00180499
1.28,-1.35048,-0.00178832
1.282,-1.35143,-0.00177998
1.284,-1.35245,-0.00178415
1.286,-1.35345,-0.00180082
1.288,-1.35449,-0.00180082
1.29,-1.35543,-0.00180082
1.292,-1.35628,-0.00187586
1.294,-1.35763,-0.00184668
1.296,-1.35846,-0.00184251
1.298,-1.35944,-0.00185085
1.3,-1.3606,-0.00187169
1.302,-1.36144,-0.00184668
1.304,-1.36254,-0.00186335
1.306,-1.36343,-0.00188003
1.308,-1.36425,-0.00188836
1.31,-1.36562,-0.00188003
1.312,-1.36647,-0.00194256
1.314,-1.36745,-0.00193839
1.316,-1.36884,-0.00195089
1.318,-1.36925,-0.0019634
1.32,-1.37045,-0.00198007
1.322,-1.37145,-0.00200092
1.324,-1.37242,-0.00201759
1.326,-1.37348,-0.00201342
1.328,-1.37441,-0.00204677
1.33,-1.37542,-0.00206345
1.332,-1.37644,-0.00203843
1.334,-1.37744,-0.00209263
1.336,-1.37848,-0.00208012
1.338,-1.37945,-0.00208429
1.34,-1.38032,-0.00212597
1.342,-1.38164,-0.00213431
1.344,-1.38255,-0.00216349
1.346,-1.38345,-0.00214682
1.348,-1.38454,-0.00214682
1.35,-1.38546,-0.00220101
1.352,-1.38651,-0.00218433
1.354,-1.38746,-0.00218433
1.356,-1.38829,-0.00223019
1.358,-1.38965,-0.00223019
1.36,-1.39058,-0.00224269
1.362,-1.39144,-0.00226771
1.364,-1.39276,-0.00229272
1.366,-1.39363,-0.00225103
1.368,-1.39458,-0.00230939
1.37,-1.39545,-0.0023219
1.372,-1.39644,-0.00233857
1.374,-1.39753,-0.00237609
1.376,-1.39844,-0.00238026
1.378,-1.39942,-0.00236775
1.38,-1.40042,-0.00241777
1.382,-1.4015,-0.00244695
1.384,-1.40252,-0.00243862
1.386,-1.40345,-0.00253033
1.388,-1.40434,-0.00252199
1.39,-1.40554,-0.00253866
1.392,-1.40645,-0.00255117
1.394,-1.40745,-0.00253449
1.396,-1.40836,-0.00258035
1.398,-1.40945,-0.00260536
1.4,-1.41053,-0.00265538
1.402,-1.41145,-0.00262203
1.404,-1.41227,-0.00262203
1.406,-1.41361,-0.00271374
1.408,-1.41447,-0.00270541
1.41,-1.41542,-0.00275126
1.412,-1.41667,-0.00274709
1.414,-1.41733,-0.00275543
1.416,-1.41846,-0.00278878
1.418,-1.41943,-0.00281379
1.42,-1.42026,-0.0028388
1.422,-1.42141,-0.00283463
1.424,-1.42246,-0.00284297
1.426,-1.42345,-0.0029055
1.428,-1.42446,-0.00293885
1.43,-1.42547,-0.00293468
1.432,-1.42643,-0.00293885
1.434,-1.42746,-0.00302222
1.436,-1.42845,-0.00300554
1.438,-1.42946,-0.00297219
1.44,-1.43043,-0.00306807
1.442,-1.43145,-0.00308475
1.444,-1.43244,-0.00307224
1.446,-1.43346,-0.00312643
1.448,-1.43445,-0.00315144
1.45,-1.43543,-0.00320563
1.452,-1.43638,-0.00318479
1.454,-1.43762,-0.00324315
1.456,-1.43847,-0.00328901
1.458,-1.43945,-0.0032765
1.46,-1.4406,-0.00330151
1.462,-1.44147,-0.00331819
1.464,-1.44254,-0.00332235
1.466,-1.4435,-0.0033432
1.468,-1.44434,-0.00333069
1.47,-1.44565,-0.00338072
1.472,-1.44644,-0.00340156
1.474,-1.44745,-0.00341406
1.476,-1.44843,-0.00340989
1.478,-1.44944,-0.00346826
1.48,-1.45044,-0.00346826
1.482,-1.45146,-0.00354329
1.484,-1.4524,-0.00353495
1.486,-1.45354,-0.00355163
1.488,-1.45442,-0.00358497
1.49,-1.45543,-0.00358497
1.492,-1.45648,-0.00365167
1.494,-1.45747,-0.00363083
1.496,-1.4585,-0.00365584
1.498,-1.45945,-0.00368919
1.5,-1.46033,-0.00368085
1.502,-1.46162,-0.00371003
1.504,-1.46249,-0.00376839
1.506,-1.46344,-0.00377256
1.508,-1.46458,-0.00383092
1.51,-1.46548,-0.00381008
1.512,-1.4665,-0.0038601
1.514,-1.46745,-0.00393097
1.516,-1.46836,-0.00388511
1.518,-1.46963,-0.00392263
1.52,-1.47046,-0.00393097
1.522,-1.47142,-0.00394347
1.524,-1.47243,-0.00399766
1.526,-1.47343,-0.00403935
1.528,-1.47445,-0.00404352
1.53,-1.47543,-0.00409354
1.532,-1.47638,-0.00411022
1.534,-1.47753,-0.0041394
1.536,-1.47844,-0.0041519
1.538,-1.47943,-0.00414773
1.54,-1.48036,-0.00418942
1.542,-1.48143,-0.00424778
1.544,-1.48247,-0.00428113
1.546,-1.48344,-0.00426445
1.548,-1.48427,-0.00427696
1.55,-1.48562,-0.00434782
1.552,-1.48649,-0.00439368
1.554,-1.48744,-0.00437284
1.556,-1.48842,-0.00438117
1.558,-1.48942,-0.00446454
1.56,-1.49054,-0.00448956
1.562,-1.49145,-0.00450206
1.564,-1.49229,-0.00454792
1.566,-1.49361,-0.00455625
1.568,-1.49457,-0.00456459
1.57,-1.49543,-0.0045771
1.572,-1.4967,-0.00458543
1.574,-1.49732,-0.00462295
1.576,-1.49842,-0.00466047
1.578,-1.49944,-0.00471466
1.58,-1.50042,-0.0047355
1.582,-1.50147,-0.00481054
1.584,-1.50242,-0.00482721
1.586,-1.50345,-0.00482721
1.588,-1.50439,-0.0048814
1.59,-1.50543,-0.00487723
1.592,-1.5065,-0.00491058
1.594,-1.50744,-0.00494393
1.596,-1.5083,-0.00497311
1.598,-1.50962,-0.00499812
1.6,-1.51045,-0.00505648
1.602,-1.51145,-0.00508149
1.604,-1.51246,-0.00510651
1.606,-1.51343,-0.00513152
1.608,-1.51447,-0.00518988
1.61,-1.51539,-0.00518571
1.612,-1.51626,-0.00518988
1.614,-1.51764,-0.00524824
1.616,-1.51848,-0.00527742
1.618,-1.51944,-0.00533578
1.62,-1.52069,-0.00532744
1.622,-1.5216,-0.00537329
1.624,-1.5226,-0.00539414
1.626,-1.52339,-0.00541498
1.628,-1.52445,-0.00543999
1.63,-1.52552,-0.00548585
1.632,-1.52637,-0.00555254
1.634,-1.52741,-0.00555254
1.636,-1.52839,-0.00559423
1.638,-1.52942,-0.00564425
1.64,-1.53043,-0.00562758
